FEATURE,TIPO_ORIGINAL,NULOS,IMPUTACION,TRANSFORMACION,ENCODING,ESCALAMIENTO,INCLUIDA
NUM_TITULACIONES,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_TIT_BACHILLERATO,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_TIT_CUARTO_NIVEL,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_TIT_TERCER_NIVEL,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_CAPACITACIONES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
SUMA_DURACION_CAPACITACIONES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_CAPACITACIONES_APROBACION,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_CAPACITACIONES_VIRTUAL,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_CAPACITACIONES_PRESENCIAL,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_CERTIFICACIONES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
SUMA_DURACION_CERTIFICACIONES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PONENCIAS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
SUMA_DURACION_PONENCIAS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_CURSOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PERIODOS_DOCENCIA,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
TOTAL_HORAS_DOCENCIA,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
TOTAL_ESTUDIANTES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
PROMEDIO_ESTUDIANTES_POR_CURSO,float64,66.64,0,ninguna,ninguno (numerica),StandardScaler,True
NUM_ACTIVIDADES_POLITECNICAS,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_ACTIVIDADES_T1,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_ACTIVIDADES_T2,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_ACTIVIDADES_T3,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
TOTAL_HORAS_POLITECNICAS,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_EXPERIENCIAS_EXTERNAS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_EXPERIENCIAS_ACADEMICAS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_EXPERIENCIAS_ADMINISTRATIVAS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_EXPERIENCIAS_POR_CLASIFICAR,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_EXPERIENCIAS_ROL_PROFESOR,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_IDIOMAS,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_IDIOMAS_NO_NATIVOS,float64,0.0,sin nulos,ninguna,ninguno (numerica),StandardScaler,True
NUM_IDIOMAS_CON_NIVELMCER,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_EVALUACIONES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
PROMEDIO_HETEROEVALUACION,float64,61.47,mediana,ninguna,ninguno (numerica),StandardScaler,True
TOTAL_REGISTRADOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
TOTAL_EVALUADOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
COBERTURA_EVALUACION,float64,61.47,0,ninguna,ninguno (numerica),StandardScaler,True
NUM_RECONOCIMIENTOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_TIPOS_RECONOCIMIENTO_DISTINTOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_GRADO_DIRIGIDOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROGRAMAS_TITULACION_DISTINTOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_INVESTIGACION,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_ACTIVOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_FINALIZADOS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_COMO_DIRECTOR,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_COMO_CODIRECTOR,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_COMO_PARTICIPANTE,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PROYECTOS_VINCULACION,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_VINCULACION_TUTOR,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_VINCULACION_DIRECTOR_PROYECTO,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_VINCULACION_DIRECTOR_PROGRAMA,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PUBLICACIONES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PUBLICACIONES_INDEXADAS,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PUBLICACIONES_REVISION_PARES,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PUBLICACIONES_Q1,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
NUM_PUBLICACIONES_Q2,float64,0.0,sin nulos,log1p,ninguno (numerica),StandardScaler,True
N_REGISTROS_HISTORIAL,float64,0.16,mediana,log1p,ninguno (numerica),StandardScaler,True
N_CONTRATOS_TOTAL,float64,0.16,mediana,log1p,ninguno (numerica),StandardScaler,True
N_CARGOS_DISTINTOS,float64,0.16,mediana,log1p,ninguno (numerica),StandardScaler,True
CARGO_ACTUAL,str,0.16,"DESCONOCIDO (documentada, no aplicada a la matriz)",ninguna,ninguno (excluida por alta cardinalidad),ninguno,False
CARGO_MAS_FRECUENTE,str,0.16,"DESCONOCIDO (documentada, no aplicada a la matriz)",ninguna,ninguno (excluida por alta cardinalidad),ninguno,False
MULTIPLES_CARGOS_MISMO_ANIO,object,0.16,moda,ninguna,binaria 0/1,ninguno (0/1),True
N_UNIDADES_DISTINTAS,float64,0.16,mediana,log1p,ninguno (numerica),StandardScaler,True
UNIDAD_ACTUAL_NOMBRE,str,0.16,"DESCONOCIDO (documentada, no aplicada a la matriz)",ninguna,ninguno (excluida por alta cardinalidad),ninguno,False
N_FACULTADES_DISTINTAS,float64,0.16,mediana,ninguna,ninguno (numerica),StandardScaler,True
PASO_POR_RECTORADO,object,0.16,moda,ninguna,binaria 0/1,ninguno (0/1),True
N_REGIMENES_DISTINTOS,float64,0.16,mediana,ninguna,ninguno (numerica),StandardScaler,True
REGIMEN_INICIAL_DESC,str,17.68,DESCONOCIDO,ninguna,one_hot,ninguno (dummy 0/1),True
REGIMEN_ACTUAL_DESC,str,0.16,DESCONOCIDO,ninguna,one_hot,ninguno (dummy 0/1),True
TIPOEMPLEADO_ACTUAL_DESC,str,0.16,ninguna (se conserva tal cual),ninguna,"ninguno (excluida por circularidad de trayectoria, DEC-013)",ninguno,False
ES_DOCENTE_ADMIN_MIXTO,object,0.16,ninguna (se conserva tal cual),ninguna,"ninguno (excluida por circularidad de trayectoria, DEC-013)",ninguno,False
ANIOS_EXPERIENCIA_DOCENTE,float64,0.16,mediana,log1p,ninguno (numerica),StandardScaler,True
ANIOS_EXPERIENCIA_ADMINISTRATIVO,float64,0.16,mediana,log1p,ninguno (numerica),StandardScaler,True
